#m	G	BBR
0	1.00E-04	0.00125
0.1	1.00E-04	0.00121879
0.2	1.00E-04	0.00118757
0.3	1.00E-04	0.00115636
0.4	1.00E-04	0.00112514
0.5	1.00E-04	0.00109392
0.6	1.00E-04	0.0010627
0.7	1.00E-04	0.00103148
0.8	1.00E-04	0.00100025
0.9	1.00E-04	0.000969023
1	1.00E-04	0.000937793
0	2.00E-04	0.0025
0.1	2.00E-04	0.00243765
0.2	2.00E-04	0.0023753
0.3	2.00E-04	0.00231293
0.4	2.00E-04	0.00225056
0.5	2.00E-04	0.00218818
0.6	2.00E-04	0.0021258
0.7	2.00E-04	0.0020634
0.8	2.00E-04	0.002001
0.9	2.00E-04	0.00193859
1	2.00E-04	0.00187617
0	5.00E-04	0.00625
0.1	5.00E-04	0.0060947
0.2	5.00E-04	0.00593936
0.3	5.00E-04	0.00578396
0.4	5.00E-04	0.00562852
0.5	5.00E-04	0.00547303
0.6	5.00E-04	0.00531749
0.7	5.00E-04	0.0051619
0.8	5.00E-04	0.00500626
0.9	5.00E-04	0.00485057
1	5.00E-04	0.00469484
0	1.00E-03	0.0125
0.1	1.00E-03	0.0121913
0.2	1.00E-03	0.0118824
0.3	1.00E-03	0.0115734
0.4	1.00E-03	0.0112641
0.5	1.00E-03	0.0109546
0.6	1.00E-03	0.010645
0.7	1.00E-03	0.0103351
0.8	1.00E-03	0.0100251
0.9	1.00E-03	0.00971482
1	1.00E-03	0.00940439
0	2.00E-03	0.025
0.1	2.00E-03	0.0243902
0.2	2.00E-03	0.0237797
0.3	2.00E-03	0.0231684
0.4	2.00E-03	0.0225564
0.5	2.00E-03	0.0219436
0.6	2.00E-03	0.02133
0.7	2.00E-03	0.0207156
0.8	2.00E-03	0.0201005
0.9	2.00E-03	0.0194846
1	2.00E-03	0.0188679
0	5.00E-03	0.0625
0.1	5.00E-03	0.0610329
0.2	5.00E-03	0.0595611
0.3	5.00E-03	0.0580848
0.4	5.00E-03	0.0566038
0.5	5.00E-03	0.0551181
0.6	5.00E-03	0.0536278
0.7	5.00E-03	0.0521327
0.8	5.00E-03	0.0506329
0.9	5.00E-03	0.0491284
1	5.00E-03	0.047619
0	1.00E-02	0.125
0.1	1.00E-02	0.122257
0.2	1.00E-02	0.119497
0.3	1.00E-02	0.116719
0.4	1.00E-02	0.113924
0.5	1.00E-02	0.111111
0.6	1.00E-02	0.10828
0.7	1.00E-02	0.105431
0.8	1.00E-02	0.102564
0.9	1.00E-02	0.0996784
1	1.00E-02	0.0967742
0	2.00E-02	0.249936
0.1	2.00E-02	0.24522
0.2	2.00E-02	0.240444
0.3	2.00E-02	0.235608
0.4	2.00E-02	0.230709
0.5	2.00E-02	0.225747
0.6	2.00E-02	0.220721
0.7	2.00E-02	0.215629
0.8	2.00E-02	0.21047
0.9	2.00E-02	0.205243
1	2.00E-02	0.199946
0	5.00E-02	0.602113
0.1	5.00E-02	0.596033
0.2	5.00E-02	0.589763
0.3	5.00E-02	0.583296
0.4	5.00E-02	0.576621
0.5	5.00E-02	0.569729
0.6	5.00E-02	0.56261
0.7	5.00E-02	0.55525
0.8	5.00E-02	0.547639
0.9	5.00E-02	0.539762
1	5.00E-02	0.531607
0	1.00E-01	1.01029
0.1	1.00E-01	1.01056
0.2	1.00E-01	1.01084
0.3	1.00E-01	1.01113
0.4	1.00E-01	1.01145
0.5	1.00E-01	1.01178
0.6	1.00E-01	1.01213
0.7	1.00E-01	1.0125
0.8	1.00E-01	1.0129
0.9	1.00E-01	1.01332
1	1.00E-01	1.01377
0	2.00E-01	1.40289
0.1	2.00E-01	1.41754
0.2	2.00E-01	1.43329
0.3	2.00E-01	1.45027
0.4	2.00E-01	1.46864
0.5	2.00E-01	1.48857
0.6	2.00E-01	1.51027
0.7	2.00E-01	1.53399
0.8	2.00E-01	1.56002
0.9	2.00E-01	1.58873
1	2.00E-01	1.62053
0	5.00E-01	1.74414
0.1	5.00E-01	1.77806
0.2	5.00E-01	1.81523
0.3	5.00E-01	1.85612
0.4	5.00E-01	1.90134
0.5	5.00E-01	1.9516
0.6	5.00E-01	2.00779
0.7	5.00E-01	2.07104
0.8	5.00E-01	2.14276
0.9	5.00E-01	2.22477
1	5.00E-01	2.31947
		
